iter	Passed	Remaining
175	13740	39580
176	13827	39528
177	13936	39539
178	14062	39594
179	14163	39578
180	14239	39494
181	14312	39399
182	14386	39307
183	14458	39210
184	14534	39125
185	14622	39071
186	14712	39022
187	14797	38960
188	14913	38980
189	15014	38957
190	15103	38904
191	15202	38877
192	15314	38881
193	15415	38856
194	15502	38795
195	15589	38736
196	15698	38729
197	15791	38681
198	15892	38652
199	15971	38571
200	16053	38497
201	16164	38491
202	16260	38447
203	16353	38399
204	16445	38346
205	16547	38316
206	16637	38257
207	16717	38175
208	16794	38088
209	16870	37998
210	16954	37927
211	17065	37913
212	17168	37882
213	17263	37834
214	17344	37755
215	17424	37672
216	17509	37600
217	17582	37504
218	17664	37426
219	17742	37340
220	17825	37264
221	17906	37184
222	17984	37099
223	18061	37010
224	18142	36929
225	18232	36869
226	18308	36778
227	18392	36705
228	18471	36621
229	18547	36530
230	18625	36444
231	18701	36355
232	18773	36257
233	18850	36171
234	18931	36089
235	19005	35997
236	19079	35904
237	19159	35824
238	19236	35735
239	19305	35634
240	19383	35549
241	19462	35466
242	19540	35381
243	19617	35296
244	19699	35217
245	19782	35141
246	19863	35062
247	19941	34977
248	20019	34893
249	20100	34813
250	20180	34732
251	20254	34642
252	20327	34548
253	20401	34457
254	20477	34369
255	20553	34282
256	20634	34203
257	20718	34129
258	20797	34046
259	20877	33965
260	20950	33874
261	21026	33786
262	21109	33710
263	21186	33625
264	21263	33540
265	21341	33455
266	21416	33368
267	21489	33277
268	21563	33186
269	21641	33103
270	21724	33027
271	21799	32939
272	21883	32865
273	21967	32790
274	22055	32721
275	22136	32642
276	22210	32554
277	22293	32478
278	22373	32398
279	22457	32323
280	22535	32240
281	22620	32166
282	22696	32079
283	22778	32002
284	22861	31926
285	22942	31847
286	23019	31761
287	23096	31677
288	23174	31594
289	23248	31505
290	23326	31422
291	23405	31340
292	23484	31259
293	23562	31176
294	23643	31097
295	23720	31013
296	23806	30939
297	23896	30872
298	23972	30787
299	24052	30706
300	24131	30624
301	24208	30541
302	24286	30458
303	24365	30377
304	24451	30303
305	24530	30222
306	24608	30138
307	24684	30054
308	24766	29976
309	24844	29893
310	24922	29811
311	25002	29730
312	25086	29654
313	25165	29573
314	25243	29490
315	25321	29408
316	25400	29326
317	25478	29244
318	25558	29163
319	25647	29093
320	25722	29008
321	25799	28924
322	25875	28840
323	25954	28758
324	26029	28672
325	26105	28587
326	26180	28502
327	26258	28420
328	26335	28337
329	26419	28261
330	26502	28184
331	26580	28101
332	26656	28017
333	26734	27934
334	26815	27855
335	26889	27769
336	26965	27685
337	27043	27603
338	27118	27518
339	27201	27441
340	27287	27367
341	27372	27292
342	27471	27231
343	27545	27145
344	27621	27061
345	27697	26977
346	27778	26898
347	27860	26820
348	27938	26737
349	28011	26650
350	28088	26567
351	28171	26490
352	28249	26409
353	28326	26325
354	28397	26237
355	28472	26153
356	28557	26077
357	28634	25994
358	28713	25914
359	28792	25833
360	28886	25765
361	28960	25680
362	29036	25596
363	29109	25510
364	29190	25431
365	29266	25348
366	29343	25265
367	29417	25180
368	29499	25102
369	29574	25018
370	29650	24935
371	29741	24864
372	29824	24787
373	29898	24702
374	29971	24616
375	30043	24530
376	30123	24450
377	30208	24374
378	30286	24292
379	30362	24210
380	30443	24131
381	30518	24047
382	30593	23963
383	30667	23878
384	30744	23796
385	30820	23714
386	30897	23632
387	30971	23547
388	31047	23465
389	31124	23383
390	31198	23299
391	31275	23217
392	31358	23139
393	31433	23056
394	31512	22976
395	31595	22898
396	31670	22815
397	31746	22733
398	31823	22651
399	31903	22571
